strain,cfp,yfp
d22,1890.179832000762,1473.9661458243047
d22,2694.686254576561,2221.892004563819
d22,2957.3149486281823,2371.097623518843
d22,2611.3906555041185,1926.3647722369326
d22,3008.354725802313,2155.0141078130227
d22,2605.890010084352,1738.3593885423181
d22,2957.651101702108,1809.0534514663104
d22,2816.6019241428276,2104.9483307824485
d22,2803.6154984492005,1930.2745259622695
d22,2931.9244316797644,1673.698361932174
d22,3265.986878108642,2342.7399854022624
d22,2811.096286551256,2086.978055607653
d22,2648.894348472666,1745.1775994028305
d22,3228.354694069872,2386.850803105856
d22,2720.2059145687745,2053.9327959139764
d22,2520.275881101537,1816.9923720061445
d22,3432.307477664201,2035.789625936656
d22,3323.5156090485866,1972.465516646343
d22,3207.1908483790003,2197.5637798814564
d22,3155.553421646786,2241.2887514963813
d22,2976.155624977897,2144.159642082624
d22,3140.8569749701082,1638.327072398513
d22,3085.117980707548,2161.781181678594
d22,2953.5635164387386,2446.513062173297
d22,3046.462879771999,1910.711448557912
d22,2556.360768889866,1856.001800026591
d22,3049.3344361568597,2272.4047110060396
d22,3123.792265334412,2288.329157321676
d22,2748.865423134705,2007.2017789187
d22,3010.4926003846635,2253.964826359176
d22,2925.364556546868,2201.820551824733
d22,2930.4310294514366,2150.4621915058115
d22,3338.381258337249,2217.9858877915694
d22,3221.318289912676,1797.9662383312445
d22,2937.544231416234,1931.835546800575
d22,2961.329062958359,2264.483040467296
d22,2913.7483608104167,1894.9340469326223
d22,2642.214111305923,1599.5161241477026
d22,2607.121711010356,1862.2149777348611
d22,2515.5045839798545,1904.305686107297
d22,2697.5683711117904,1739.5719809977716
d22,3091.1919793982483,2437.214586568753
d22,2600.7276996969026,1825.358673344699
d22,2453.008267154882,1584.6155846310226
d22,2790.0074276874516,1877.3113045926418
d22,2666.566415262784,1543.6890321392902
d22,2528.292086221311,1831.186207549665
d22,2490.969378078141,2271.5494723524466
d22,2626.455306702336,1979.365603226446
d22,2831.542486039985,2067.473877214343
d22,2365.2756998186665,1884.8757957246414
d22,2771.8258490121148,1992.5456283240424
d22,2498.672556823196,1760.6891049532874
d22,2456.2816602889347,2167.9487943927757
d22,2840.9759892555767,2005.7086796394253
d22,2972.5039036602197,2137.627326403237
d22,2925.846319787146,1971.5558526536279
d22,2133.114804780564,1671.2633313164056
d22,2274.704688314051,1749.3408497272387
d22,2222.868625062325,1584.72949188081
d22,2594.4741794101324,1499.9783960429015
d22,2841.5336631965874,2142.223909112596
d22,2907.922825675035,2085.7899165431118
d22,2642.961352512365,2036.8441889595001
d22,2476.451398715,1680.2916781401505
d22,2540.857645655521,1838.3520887341806
d22,2245.870273290146,1572.2683812563214
d22,2637.288756121627,1776.7374713180304
d22,2592.204669646257,1938.8179596881928
d22,2758.8290554643895,2026.6909955072447
d22,2837.6517578465914,1921.0248650889573
d22,2540.280756347776,2050.89714698352
d22,2586.3901396355536,2007.9361316240445
d22,2819.689152005098,2097.724525622566
d22,2405.4440013619464,1965.9690744255092
d22,2510.605850308409,1732.7831804018792
d22,2995.314215265111,1714.4917265108
d22,2296.915819617623,1805.1818034690436
d22,2982.893059761745,1935.904141631573
d22,2689.8971930076564,1868.578672007258
d22,2251.1356747047807,1835.260300910471
d22,2586.695272598302,2064.628798197546
d22,2195.777656952282,2384.366065907623
d22,2627.7721564475987,1848.84358337404
d22,2136.214759239162,1512.3486058854778
d22,2609.5572577513885,2063.6666358559014
d22,1882.75508918014,1706.7687723465838
d22,3023.0849674035708,2237.9527942276854
d22,2537.724572116464,1721.5610958161228
d22,2553.260997035842,1795.6739367667678
d22,2752.409559965439,1787.1701285292145
d22,2633.5796643559274,1936.1470859593094
d22,2887.9667024895043,2023.2628952982373
d22,2556.5889053518563,1801.3613230262615
d22,2505.4922805613896,1777.8112274716416
d22,2721.243584239867,1952.7373505890348
d22,2120.3088385642213,2122.698679547867
d22,2798.309372810253,1812.3148480999328
d22,2297.338512563268,1636.856571367279
d22,2984.8761318235906,2155.5109529142105
d22,3011.971845500195,1818.9649894991849
d22,2785.0874001535108,1862.6928864612
d22,2582.5078238073897,1956.712209848339
d22,2805.8439360298,1965.895013636358
d22,2462.509633338745,1937.9571922125408
d22,2729.1278858116484,1625.781322476243
d22,2890.821756549812,1936.0743793684037
d22,2733.6261588012007,2000.2726635556853
d22,2625.7817074075947,2007.9674531969274
d22,2786.401749066027,1846.571117772209
d22,2584.008908419552,1784.0679116328454
d22,2460.483006891117,1636.9107507023261
d22,2866.9063353364227,1927.339972826644
d22,3064.5920223718217,2050.6982631804294
d22,2896.552633883944,1980.832814152907
d22,2864.412062375064,1742.5013212575968
d22,2854.9286025669203,1982.5205829540728
d22,2949.4018206597448,1859.0696067221606
d22,2818.531392981858,1882.226399162637
d22,2598.1915552451082,1798.2472690299726
d22,2577.124155318565,1987.2871899229106
d22,2716.063311605915,1802.4239545959288
d22,2359.857243378884,1708.8591371522652
d22,2577.5378334170714,1532.6213323671252
d22,3204.0993860364338,2234.031640398057
d22,2453.0155402796963,2029.848050831184
d22,2697.5321776578353,2022.745406241607
d22,2837.739459991153,2356.3662853516544
d22,2945.5125398277937,1654.8485682582807
d22,1868.4555265977986,1564.0509774527475
d22,2526.8976640967308,1815.4886059313067
d22,3043.837223316958,1838.3888707112078
d22,2561.734133354534,1842.1002015484198
d22,2342.834922222949,2090.9798084289696
d22,2506.523857877063,1755.2718899593485
d22,2191.06408817236,1639.040906365938
d22,2635.622869701219,1924.804591134387
d22,2293.0291521589443,1726.5971494551675
d22,2006.2764421608404,2226.281955196177
d22,2615.373499046796,1879.6270555351593
d22,2569.6096487966515,1740.8403811747655
d22,2620.7609804149824,1677.658770126578
d22,2560.8897396843367,1739.4550087509626
d22,2481.508501165188,1669.2634208123118
d22,2638.254715422894,1942.3959576331388
d22,2683.164157750306,1973.2602516446448
d22,2366.395084041682,1888.108984295612
d22,2536.982314275883,1762.8948655588053
d22,2476.489866252746,2018.7694114479266
d22,3081.319160950548,2123.9004232816287
d22,2829.31548949325,2011.878953801949
d22,3466.942848700468,2147.5039864264495
d22,2599.941856364187,1721.9304592092335
d22,2550.9561429810306,1831.5319870066269
d22,2575.2281942651557,2176.02614537609
d22,3259.2564688664197,1973.224457179974
d22,2940.3144505386344,1919.7799817883295
d22,2664.87947396446,2227.6214318132793
d22,2865.910057189118,2111.795311350706
d22,2692.756861133948,1854.1010705366427
d22,2497.113388522707,1843.2811178453376
d22,2960.665229778819,1866.5270650745388
d22,3091.455346963849,1859.3623387695848
d22,3340.9208803733063,2115.094550967065
d22,2876.8860018533824,2290.8159562970345
d22,2889.317033603801,1889.2881528952373
d22,3317.152075163097,2056.5203079694493
d22,2365.4191523110285,1448.8818837630106
d22,2806.359798343605,1487.8998395731126
d22,2584.195303326921,1709.6165957309847
d22,2604.947154890006,1767.5218498095269
d22,2866.327982762741,1908.3291366423853
d22,2591.5697047533763,1754.38201994471
d22,2798.815943843235,2050.9084266764735
d22,2581.3956869885155,1679.9397200761175
d22,2617.748720157833,1775.8505253046364
d22,2769.7785273988184,1725.1250597299884
d22,2660.5981134100666,1851.876745956797
d22,2274.8111929137744,2022.5665210707307
d22,2709.3481685412416,1849.0657000750257
d22,2469.461353215675,1668.0925552359986
d22,2705.9069754543434,1784.0491247098996
d22,2687.4150999267445,1820.0055234213346
d22,2150.8931120456186,2042.5581485839155
d22,2201.927094496165,2402.832864647336
d22,2448.615436965751,1649.2346159514416
d22,2951.014064019228,2047.9556232739692
d22,2877.867731946596,1700.4372223289831
d22,2689.065870307167,1750.3733211354127
d22,2686.741237382285,1960.053988968324
d22,2359.0823633564514,1807.2615186371645
d22,2741.6604065547017,1835.335896554502
d22,2891.721643002721,1639.4343746122504
d22,2825.9338336430937,1830.5472028083848
d22,2623.5442080617718,1871.1504329593015
d22,2557.607264322277,1894.4226425100173
d22,2702.1476268258907,1722.1533150735565
d22,2526.9236407526723,1663.019805205702
d22,2539.418802945217,1583.9314595250098
d22,2906.715365759093,1872.246777897629
d22,2969.4897629540974,1915.4238668686453
d22,2804.161105642436,1826.1928228369165
d22,2726.664154730285,1612.3002474667444
d22,2727.2108967876306,1831.714458146712
d22,3694.180004830373,2260.680034447474
d22,2838.576022847627,1845.8160141314302
d22,2527.091005357187,1697.4891097767795
d22,2492.453241051825,1852.248447436917
d22,2697.982686663843,1871.1506139416306
d22,2812.2227818384054,1699.9395479111136
d22,2717.388586162865,1901.1975843270652
d22,2605.8862873913195,1563.2293299653138
d22,2602.6850037371905,1561.1330293158544
d22,2721.1282986063825,1737.5775180618812
d22,2797.8791952811102,1868.8677665592288
d22,2572.438515239551,1753.1037911005362
d22,3073.4760538308656,1908.2123830058729
d22,2677.972658959932,2050.864472001526
d22,2599.9478519232666,1776.5242850199686
d22,2333.686213146368,1459.4527723559945
d22,2430.1153019794892,1717.2547561513854
d22,2067.848321596802,1792.4803989828858
d22,2352.6528166415633,1489.2711593238305
d22,2649.7236931034367,1571.5671939301644
d22,3415.0900529924297,2228.243388579509
d22,2549.694436882311,1985.3380166547147
d22,2485.7657607536034,1964.9933619933145
d22,2154.308974836915,1696.4299632056175
d22,2306.386031657361,1652.2419274374924
d22,2110.4545221815747,1692.8021600586585
d22,2337.3479222130013,1632.7775986595786
d22,2203.2253390764904,1616.1958260684848
d22,2547.9290036202788,2008.278952701303
d22,2642.180358814945,1840.2400425250864
d22,2561.260383336593,1861.3152617328406
d22,2355.1138875761912,1783.2497591300653
d22,2360.6964271654165,2394.6961523163886
d22,2501.564729267515,1821.5318318660172
d22,2248.8683572270043,1561.242344655292
d22,2241.3657938237693,1672.669253467019
d22,2345.344927882407,1659.3029314895796
d22,2776.481504884813,1959.723110284072
d22,2113.845894284995,1554.6379853209464
