Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
BRAC 81,0,19-06-2017,170,2,Nicrophorus,marginatus,F,0.9798,0.318,0.325,8.44
BRAC #3,0,11-07-2017,192,na,Nicrophorus,marginatus,F,0.9821,0.339,0.345,9.12
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,F,1.0009,0.366,0.366,10.1
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,F,1.0017,0.379,0.378,9.14
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,F,1.0004,0.487,0.487,10.29
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,F,1.0013,0.614,0.613,10.7
North Bracken,0,03-09-2018,246,na,Nicrophorus,marginatus,F,1.0007,0.881,0.88,11.95
BRAC #4,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.982,0.223,0.227,8.34
BRAC #3,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.9818,0.298,0.304,8.36
BRAC 81,0,19-06-2017,170,2,Nicrophorus,marginatus,M,0.9798,0.298,0.304,8.77
BRAC #4,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.9819,0.313,0.319,9.2
BRAC #3,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.9822,0.345,0.351,8.71
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,M,1.0013,0.352,0.352,8.69
BRAC #2,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.9821,0.388,0.395,9.65
BRAC #4,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.9822,0.434,0.442,10.04
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,M,1.0014,0.46,0.459,9.44
North Bracken,0,21-08-2018,233,na,Nicrophorus,marginatus,M,1.0014,0.6,0.599,9.98
BRAC #4,0,11-07-2017,192,na,Nicrophorus,marginatus,M,0.9827,0.7,0.712,11.4
BRAC 105,0,24-08-2017,236,3,Nicrophorus,orbicollis,F,0.9765,0.083,0.085,8.31
MASS 12,0,05-07-2017,186,2,Nicrophorus,orbicollis,F,0.9776,0.144,0.147,8.04
HUGH 137,0,22-08-2017,234,3,Nicrophorus,orbicollis,F,0.9741,0.145,0.149,9
HUGH 137,0,22-08-2017,234,3,Nicrophorus,orbicollis,F,0.976,0.146,0.15,8.61
PANG 115,0,22-09-2017,265,4,Nicrophorus,orbicollis,F,0.9757,0.154,0.158,8.28
PANG 23,0,29-06-2017,180,2,Nicrophorus,orbicollis,F,0.975,0.163,0.167,8.58
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9798,0.171,0.175,9.03
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.9825,0.173,0.176,8.62
PANG 140,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9741,0.173,0.178,7.69
HUGH 123,0,25-08-2017,237,3,Nicrophorus,orbicollis,F,0.9746,0.178,0.183,10.78
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.183,0.187,7.85
PANG 41,6,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9786,0.184,0.188,7.89
PANG 36,0,11-06-2017,162,2,Nicrophorus,orbicollis,F,0.9764,0.185,0.189,8.93
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.98,0.187,0.191,8.44
HUGH 133,0,10-08-2017,222,3,Nicrophorus,orbicollis,F,0.9835,0.195,0.198,8.88
MASS 139,6,02-08-2017,214,3,Nicrophorus,orbicollis,F,0.9772,0.197,0.202,8.73
PANG 108,0,15-09-2017,258,4,Nicrophorus,orbicollis,F,0.9747,0.2,0.205,8.63
MOOR 43,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9785,0.201,0.205,8.81
MASS 3,6,07-08-2017,219,3,Nicrophorus,orbicollis,F,0.9818,0.202,0.206,8.55
MASS 3,0,16-09-2017,259,4,Nicrophorus,orbicollis,F,0.9754,0.201,0.206,9.95
MOOR 43,0,06-10-2017,279,4,Nicrophorus,orbicollis,F,0.9752,0.201,0.206,10.37
PANG 115,0,22-09-2017,265,4,Nicrophorus,orbicollis,F,0.9757,0.202,0.207,10.6
MOOR 46,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9804,0.203,0.207,8.61
BONW 94,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9845,0.204,0.207,8.93
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9781,0.203,0.208,8.92
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9846,0.205,0.208,8.77
PANG 23,0,20-08-2017,232,3,Nicrophorus,orbicollis,F,0.9829,0.207,0.211,8.71
