Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
CAPE 51,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9841,0.342,0.348,10.09
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,M,0.9783,0.34,0.348,10.21
PANG 32,0,03-08-2017,215,3,Nicrophorus,orbicollis,M,0.9803,0.341,0.348,9.9
HUGH 68,0,22-06-2017,173,2,Nicrophorus,orbicollis,M,0.9742,0.339,0.348,10.54
HUGH 70,0,25-08-2017,237,3,Nicrophorus,orbicollis,M,0.9737,0.339,0.348,10.91
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,M,0.9764,0.34,0.348,10.69
PANG 104,0,13-06-2017,164,2,Nicrophorus,orbicollis,M,0.9761,0.34,0.348,10.04
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9846,0.343,0.348,11.88
MASS 111,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.9784,0.341,0.349,10.4
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,M,0.9783,0.341,0.349,9.92
CAPE 51,0,17-08-2017,229,3,Nicrophorus,orbicollis,M,0.9807,0.342,0.349,10.31
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9798,0.342,0.349,10.23
PANG 36,0,11-06-2017,162,2,Nicrophorus,orbicollis,M,0.9764,0.341,0.349,11.11
BONW 129,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9819,0.343,0.349,10.47
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9846,0.344,0.349,9.87
MASS 12,0,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.976,0.341,0.349,9.53
HUGH 69,0,25-08-2017,237,3,Nicrophorus,orbicollis,M,0.9748,0.341,0.35,9.49
MASS 139,6,02-08-2017,214,3,Nicrophorus,orbicollis,M,0.9775,0.342,0.35,10.05
MASS 111,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9832,0.344,0.35,10.5
HUGH 80,6,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.977,0.342,0.35,9.93
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9759,0.342,0.35,10.43
BONW 96,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9812,0.344,0.351,10.34
HUGH 123,0,25-08-2017,237,3,Nicrophorus,orbicollis,M,0.975,0.342,0.351,10.63
BRAC 105,0,24-08-2017,236,3,Nicrophorus,orbicollis,M,0.9765,0.343,0.351,10.57
MASS 139,0,02-08-2017,214,3,Nicrophorus,orbicollis,M,0.9818,0.345,0.351,9.78
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9813,0.345,0.352,10.86
HUGH 126,6,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9784,0.344,0.352,8.52
MASS 15,6,23-06-2017,174,2,Nicrophorus,orbicollis,M,0.98,0.345,0.352,9.89
BONW 103,0,06-07-2017,187,2,Nicrophorus,orbicollis,M,0.9792,0.345,0.352,10
HUGH 123,0,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.9747,0.344,0.353,10.23
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9803,0.346,0.353,10.16
PANG 33,0,21-08-2017,233,3,Nicrophorus,orbicollis,M,0.9831,0.347,0.353,10.24
PANG 121,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9798,0.346,0.353,10.64
BOST 16,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9796,0.346,0.353,10.45
BOST 16,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9796,0.346,0.353,9.84
BRAC 105,0,24-08-2017,236,3,Nicrophorus,orbicollis,M,0.9765,0.345,0.353,11.79
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9793,0.346,0.353,10.2
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9846,0.348,0.353,10.6
PANG 108,0,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9838,0.348,0.354,10.38
BRAC 84,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.975,0.345,0.354,9.8
MOOR 43,0,06-10-2017,279,4,Nicrophorus,orbicollis,M,0.9749,0.345,0.354,11.96
HUGH 133,6,22-06-2017,173,2,Nicrophorus,orbicollis,M,0.9747,0.345,0.354,9.11
PANG 23,0,20-08-2017,232,3,Nicrophorus,orbicollis,M,0.9829,0.348,0.354,10.15
BOST 113,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9772,0.346,0.354,9.93
BOST 16,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9796,0.347,0.354,10.02
CAPE 60,0,08-08-2017,220,3,Nicrophorus,orbicollis,M,0.9765,0.346,0.354,10.51
BONW 129,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9819,0.348,0.354,10.9
PANG 108,0,15-09-2017,258,4,Nicrophorus,orbicollis,M,0.9747,0.346,0.355,9.25
MASS 139,6,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9746,0.346,0.355,10.42
MASS 12,0,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.976,0.347,0.356,9.95
HUGH 80,0,28-06-2017,179,2,Nicrophorus,orbicollis,M,0.9757,0.347,0.356,10.7
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,M,0.9785,0.348,0.356,10.64
CAPE 136,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9771,0.348,0.356,11.16
HUGH 76,0,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9769,0.348,0.356,9.94
MASS 138,0,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9797,0.349,0.356,10.01
MASS 120,0,05-07-2017,186,2,Nicrophorus,orbicollis,M,0.9797,0.349,0.356,10.16
BONW 107,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9821,0.35,0.356,10.26
BOST 113,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9761,0.348,0.357,10.1
HUGH 126,6,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9784,0.349,0.357,10.07
PANG 108,0,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9838,0.351,0.357,10.63
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,M,0.9779,0.349,0.357,10.14
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9747,0.348,0.357,10.27
PANG 35,0,22-08-2017,234,3,Nicrophorus,orbicollis,M,0.9799,0.35,0.357,10.66
PANG 41,0,12-08-2017,224,3,Nicrophorus,orbicollis,M,0.9822,0.351,0.357,10.37
HUGH 116,6,22-06-2017,173,2,Nicrophorus,orbicollis,M,0.9794,0.35,0.357,9.96
MOOR 45,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9791,0.35,0.357,10.94
BOST 113,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9761,0.349,0.358,10.1
BONW 101,0,30-06-2017,181,2,Nicrophorus,orbicollis,M,0.9755,0.349,0.358,10.12
PANG 23,0,20-08-2017,232,3,Nicrophorus,orbicollis,M,0.9829,0.352,0.358,10
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9824,0.352,0.358,10.12
CAPE 57,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9824,0.352,0.358,10.18
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9849,0.353,0.358,10.69
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9849,0.353,0.358,10.53
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9849,0.353,0.358,10.49
PANG 114,0,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9757,0.35,0.359,10.83
MASS 202,0,23-08-2017,235,3,Nicrophorus,orbicollis,M,0.9748,0.35,0.359,11.21
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9775,0.351,0.359,11.14
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9747,0.35,0.359,10.43
HUGH 123,0,25-08-2017,237,3,Nicrophorus,orbicollis,M,0.9746,0.35,0.359,10.06
MASS 203,0,23-08-2017,235,3,Nicrophorus,orbicollis,M,0.9801,0.352,0.359,10.4
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9798,0.352,0.359,10.94
HUGH 80,6,28-06-2017,179,2,Nicrophorus,orbicollis,M,0.9794,0.352,0.359,12.01
MASS 10,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.9737,0.35,0.359,10.73
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9759,0.351,0.36,10.06
BRAC 84,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.975,0.351,0.36,10.67
TURID 204,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9777,0.352,0.36,10.96
HUGH 123,0,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.9747,0.351,0.36,10.51
MOOR 43,0,31-07-2017,212,3,Nicrophorus,orbicollis,M,0.9773,0.352,0.36,10.1
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9798,0.353,0.36,10.61
HUGH 79,0,22-06-2017,173,2,Nicrophorus,orbicollis,M,0.9768,0.352,0.36,10.04
PANG 41,0,12-08-2017,224,3,Nicrophorus,orbicollis,M,0.9822,0.354,0.36,10.39
HUGH 79,0,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9765,0.352,0.36,9.98
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.353,0.361,10.64
MASS 130,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.975,0.352,0.361,10.11
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.975,0.352,0.361,10.68
BONW 94,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.985,0.356,0.361,10.04
BONW 129,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9819,0.355,0.362,10.02
MASS 111,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9832,0.356,0.362,10.43
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9775,0.354,0.362,11.56
HUGH 123,0,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.9747,0.353,0.362,10.14
PANG 41,0,12-08-2017,224,3,Nicrophorus,orbicollis,M,0.9822,0.356,0.362,10.04
HUGH 137,6,29-06-2017,180,2,Nicrophorus,orbicollis,M,0.9762,0.354,0.363,9.85
CAPE 49,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9813,0.356,0.363,10.43
MOOR 46,0,31-07-2017,212,3,Nicrophorus,orbicollis,M,0.9812,0.356,0.363,10.42
BONW 103,0,23-05-2017,143,1,Nicrophorus,orbicollis,M,0.9724,0.353,0.363,10.7
BRAC 81,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9776,0.355,0.363,10.64
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9793,0.356,0.364,10.37
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9793,0.356,0.364,9.84
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9759,0.355,0.364,10.01
PANG 140,0,21-08-2017,233,3,Nicrophorus,orbicollis,M,0.9754,0.355,0.364,11.16
MASS 111,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9832,0.358,0.364,10.96
HUGH 116,0,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9802,0.357,0.364,10.12
BRAC 122,0,24-08-2017,236,3,Nicrophorus,orbicollis,M,0.9771,0.356,0.364,10.5
CAPE 57,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9824,0.358,0.364,10.67
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9747,0.356,0.365,10.11
HUGH 70,0,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.9744,0.356,0.365,10.32
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9798,0.358,0.365,10.18
PANG 24,0,22-08-2017,234,3,Nicrophorus,orbicollis,M,0.977,0.357,0.365,10.23
HUGH 137,0,22-08-2017,234,3,Nicrophorus,orbicollis,M,0.9741,0.356,0.365,10.95
BONW 92,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9823,0.359,0.365,10.44
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.358,0.366,11.02
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.358,0.366,10.83
PANG 114,0,11-08-2017,223,3,Nicrophorus,orbicollis,M,0.9827,0.36,0.366,10.22
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9824,0.36,0.366,10.4
HUGH 137,0,22-08-2017,234,3,Nicrophorus,orbicollis,M,0.974,0.357,0.367,10.61
MASS 4,6,07-08-2017,219,3,Nicrophorus,orbicollis,M,0.9762,0.358,0.367,10.81
CAPE 49,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9813,0.36,0.367,10.47
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,M,0.9779,0.359,0.367,10.6
HUGH 116,0,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9802,0.36,0.367,10.46
MASS 200,0,04-07-2017,185,2,Nicrophorus,orbicollis,M,0.9799,0.36,0.367,9.91
HUGH 19,0,25-08-2017,237,3,Nicrophorus,orbicollis,M,0.9744,0.358,0.367,10.86
BRAC 132,6,24-08-2017,236,3,Nicrophorus,orbicollis,M,0.9771,0.359,0.367,9.99
PANG 41,0,12-08-2017,224,3,Nicrophorus,orbicollis,M,0.9822,0.361,0.368,10.5
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9759,0.359,0.368,10.36
QUBS 110,6,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9753,0.359,0.368,10.63
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.975,0.359,0.368,10.02
CAPE 48,0,28-06-2017,179,2,Nicrophorus,orbicollis,M,0.9775,0.36,0.368,10.15
BONW 89,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9772,0.36,0.368,10.41
MASS 119,0,05-07-2017,186,2,Nicrophorus,orbicollis,M,0.9794,0.361,0.369,10.39
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9848,0.363,0.369,10.7
CAPE 51,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9841,0.363,0.369,10.49
MOOR 142,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9778,0.361,0.369,10.99
BOST 113,6,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9749,0.36,0.369,10.78
BRAC 81,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.9798,0.362,0.369,10.56
BRAC 84,0,16-09-2017,259,4,Nicrophorus,orbicollis,M,0.9769,0.361,0.37,11.23
BONW 129,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9819,0.363,0.37,9.92
TURID 204,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9788,0.362,0.37,11.56
MASS 117,0,05-07-2017,186,2,Nicrophorus,orbicollis,M,0.977,0.362,0.371,10.87
CAPE 63,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9845,0.365,0.371,10.75
CAPE 63,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9845,0.365,0.371,10.65
HUGH 80,0,28-06-2017,179,2,Nicrophorus,orbicollis,M,0.9757,0.362,0.371,10.21
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9747,0.362,0.371,10.1
CAPE 136,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9771,0.363,0.372,11.14
MASS 117,6,05-07-2017,186,2,Nicrophorus,orbicollis,M,0.9793,0.364,0.372,10.44
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,M,0.9764,0.363,0.372,11.13
MASS 12,0,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.976,0.363,0.372,10.42
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9759,0.363,0.372,9.9
PANG 23,6,29-06-2017,180,2,Nicrophorus,orbicollis,M,0.9784,0.364,0.372,10.48
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.364,0.372,10.55
BONW 106,6,06-07-2017,187,2,Nicrophorus,orbicollis,M,0.9778,0.364,0.372,10.7
MASS 141,0,23-06-2017,174,2,Nicrophorus,orbicollis,M,0.9801,0.365,0.372,10.2
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9798,0.365,0.373,11.16
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9824,0.366,0.373,11.13
CAPE 51,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9841,0.367,0.373,10.56
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9813,0.366,0.373,10.57
PANG 41,6,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9786,0.365,0.373,10.07
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.975,0.364,0.373,10.03
MASS 9,0,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9749,0.364,0.373,10.28
BONW 94,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.985,0.368,0.374,11.17
BONW 107,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9821,0.367,0.374,10.59
MASS 125,0,07-08-2017,219,3,Nicrophorus,orbicollis,M,0.9739,0.364,0.374,10.5
BONW 129,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9819,0.367,0.374,10.26
BRAC 105,0,24-08-2017,236,3,Nicrophorus,orbicollis,M,0.9765,0.365,0.374,9.81
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.366,0.374,10.37
BONW 106,6,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9781,0.366,0.374,10.44
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9778,0.366,0.374,10.34
HUGH 70,6,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.975,0.365,0.374,10.58
MASS 202,0,23-08-2017,235,3,Nicrophorus,orbicollis,M,0.9748,0.365,0.374,10.95
MASS 120,6,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.9801,0.367,0.374,10.57
HUGH 123,0,25-08-2017,237,3,Nicrophorus,orbicollis,M,0.9746,0.365,0.375,10.64
BONW 89,0,22-05-2017,142,1,Nicrophorus,orbicollis,M,0.9772,0.366,0.375,10.5
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9798,0.367,0.375,11.12
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9824,0.368,0.375,10.94
QUBS 42,0,20-08-2017,232,3,Nicrophorus,orbicollis,M,0.9768,0.366,0.375,10.03
CAPE 63,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9845,0.369,0.375,10.59
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9759,0.366,0.375,10.16
BONW 96,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9812,0.368,0.375,10.64
PANG 114,0,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9757,0.366,0.375,10.29
HUGH 133,0,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9835,0.369,0.375,10.46
CAPE 53,0,08-08-2017,220,3,Nicrophorus,orbicollis,M,0.9778,0.367,0.375,10.71
MASS 203,0,23-08-2017,235,3,Nicrophorus,orbicollis,M,0.9801,0.368,0.375,11.87
PANG 114,0,11-08-2017,223,3,Nicrophorus,orbicollis,M,0.9827,0.369,0.375,9.73
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9798,0.368,0.376,10.13
PANG 23,0,29-06-2017,180,2,Nicrophorus,orbicollis,M,0.9743,0.366,0.376,11.11
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9849,0.37,0.376,10.68
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9846,0.37,0.376,10.7
PANG 108,0,11-08-2017,223,3,Nicrophorus,orbicollis,M,0.9766,0.367,0.376,11.33
PANG 36,0,11-06-2017,162,2,Nicrophorus,orbicollis,M,0.9764,0.367,0.376,11.17
MASS 120,6,05-07-2017,186,2,Nicrophorus,orbicollis,M,0.9837,0.37,0.376,10.39
MASS 9,6,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9754,0.367,0.376,10.52
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.975,0.367,0.376,10.18
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9824,0.37,0.377,10.85
MASS 7,0,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9787,0.369,0.377,10.63
MASS 9,0,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9749,0.368,0.377,10.14
BONW 199,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9749,0.368,0.377,11
PANG 35,0,22-08-2017,234,3,Nicrophorus,orbicollis,M,0.9799,0.37,0.378,10.21
MASS 3,0,07-08-2017,219,3,Nicrophorus,orbicollis,M,0.9765,0.369,0.378,10.06
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,M,0.9783,0.37,0.378,10.95
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.37,0.378,10.67
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9801,0.371,0.379,10.46
PANG 41,0,12-08-2017,224,3,Nicrophorus,orbicollis,M,0.9822,0.372,0.379,10.66
HUGH 116,6,22-06-2017,173,2,Nicrophorus,orbicollis,M,0.9794,0.371,0.379,10.3
MASS 9,6,02-08-2017,214,3,Nicrophorus,orbicollis,M,0.9786,0.371,0.379,10.12
PANG 33,0,21-08-2017,233,3,Nicrophorus,orbicollis,M,0.9831,0.373,0.379,10.4
PANG 35,0,22-08-2017,234,3,Nicrophorus,orbicollis,M,0.9799,0.372,0.38,10.94
CAPE 136,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9771,0.371,0.38,10.41
CAPE 63,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9845,0.374,0.38,10.66
MASS 139,0,02-08-2017,214,3,Nicrophorus,orbicollis,M,0.9818,0.373,0.38,10.23
MASS 117,0,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.9842,0.374,0.38,10.28
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,M,0.9813,0.373,0.38,10.9
CAPE 49,0,15-08-2017,227,3,Nicrophorus,orbicollis,M,0.9813,0.373,0.38,10.51
MOOR 142,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9778,0.372,0.38,11.15
CAPE 53,6,08-08-2017,220,3,Nicrophorus,orbicollis,M,0.9826,0.374,0.381,10.97
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9798,0.373,0.381,10.58
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9846,0.375,0.381,10.95
PANG 140,6,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9739,0.371,0.381,10.19
MASS 12,0,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.976,0.372,0.381,11.13
HUGH 116,0,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.973,0.371,0.381,10.89
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.975,0.372,0.382,10.36
MASS 125,0,23-06-2017,174,2,Nicrophorus,orbicollis,M,0.9742,0.372,0.382,10.75
MASS 139,0,02-08-2017,214,3,Nicrophorus,orbicollis,M,0.9818,0.375,0.382,10.23
CAPE 100,0,08-08-2017,220,3,Nicrophorus,orbicollis,M,0.9808,0.375,0.382,11.14
MASS 111,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9832,0.376,0.382,10.62
MASS 202,6,04-07-2017,185,2,Nicrophorus,orbicollis,M,0.9803,0.375,0.383,10.75
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,M,0.9798,0.375,0.383,10.34
BONW 92,0,18-08-2017,230,3,Nicrophorus,orbicollis,M,0.9823,0.376,0.383,10.53
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9793,0.375,0.383,10.18
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,M,0.9764,0.374,0.383,10.18
MASS 111,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.9784,0.375,0.383,10.67
MASS 111,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9832,0.377,0.383,10.51
MASS 117,6,16-08-2017,228,3,Nicrophorus,orbicollis,M,0.9745,0.374,0.384,10.79
HUGH 19,6,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.9744,0.374,0.384,10.43
PANG 108,6,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9741,0.374,0.384,9.99
HUGH 123,6,26-06-2017,177,2,Nicrophorus,orbicollis,M,0.9763,0.375,0.384,10.32
MASS 7,0,21-06-2017,172,2,Nicrophorus,orbicollis,M,0.9787,0.376,0.384,11.01
CAPE 47,0,17-08-2017,229,3,Nicrophorus,orbicollis,M,0.9783,0.376,0.384,10.89
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,M,0.9779,0.376,0.384,11.34
PANG 36,0,01-08-2017,213,3,Nicrophorus,orbicollis,M,0.9804,0.377,0.385,11.91
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,M,0.9801,0.377,0.385,10.24
CAPE 49,0,28-06-2017,179,2,Nicrophorus,orbicollis,M,0.9748,0.375,0.385,11.18
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9798,0.377,0.385,11.51
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,M,0.9798,0.377,0.385,10.34
MASS 10,0,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.9737,0.375,0.385,10.36
MASS 15,0,07-08-2017,219,3,Nicrophorus,orbicollis,M,0.9751,0.376,0.386,10.57
BRAC 84,6,19-06-2017,170,2,Nicrophorus,orbicollis,M,0.9772,0.377,0.386,10.31
QUBS 42,0,20-08-2017,232,3,Nicrophorus,orbicollis,M,0.9768,0.377,0.386,10.43
MASS 139,0,02-08-2017,214,3,Nicrophorus,orbicollis,M,0.9818,0.379,0.386,10.42
HUGH 79,0,10-08-2017,222,3,Nicrophorus,orbicollis,M,0.9765,0.377,0.386,10.48
TURID 204,0,30-06-2017,181,2,Nicrophorus,orbicollis,M,0.979,0.378,0.386,10.88
PANG 114,0,20-06-2017,171,2,Nicrophorus,orbicollis,M,0.9757,0.377,0.386,10.26
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,M,0.9781,0.378,0.386,10.2
CAPE 127,0,08-08-2017,220,3,Nicrophorus,orbicollis,M,0.9778,0.378,0.387,10.42
BONW 199,0,04-08-2017,216,3,Nicrophorus,orbicollis,M,0.9749,0.377,0.387,10.55
CAPE 127,6,15-06-2017,166,2,Nicrophorus,orbicollis,M,0.9774,0.378,0.387,10.72
MASS 202,0,23-08-2017,235,3,Nicrophorus,orbicollis,M,0.9748,0.377,0.387,10.35
PANG 140,0,10-07-2017,191,2,Nicrophorus,orbicollis,M,0.9741,0.377,0.387,10.26
